Site Disk Usage,0.01 GB,,,,,
,,,,,,
,,,,,,
,,2010-12-26,2010-12-19,2010-12-12,2010-12-05,Total
User Actions,,,,,,
,Browse,104134,75577,61821,66188,307720
,DownloadPreview,13935,10694,10552,11457,46638
,DownloadPreviewiOS,6374,4952,5459,6050,22835
,DownloadTrack,24629,19318,16730,18092,78769
,DownloadTracks,93304,66735,64547,63427,288013
,DownloadiOS,27904,20663,19523,20132,88222
,EditFiles,0,0,0,0,0
,EditPage,0,0,0,0,0
,Logout,0,0,0,0,0
,SearchResultsPage,0,0,0,0,0
,Subscription,5477,4132,3757,3872,17238
,SubscriptionEnclosure,45549,40170,38754,42113,166586
,SubscriptionFeed,567198,574187,606165,603019,2350569
,Upload,0,0,0,0,0
,Not Listed,0,0,0,0,0
,,,,,,
,,,,,,
Total Track Downloads,,191386,146886,139554,143764,621590
,,,,,,
Client Software,?/?/Macintosh,0,0,0,0,0
,?/?/Windows,0,0,0,0,0
,iTunes-iPad/3.2/?,15337,11851,8680,10012,45880
,iTunes-iPhone/3.0/?,307,413,485,518,1723
,iTunes-iPhone/3.1/?,4016,3871,4532,5248,17667
,iTunes-iPhone/4.0/?,1218,868,936,1134,4156
,iTunes-iPhone/4.1/?,2424,2420,2907,3621,11372
,iTunes-iPod/3.0/?,5,25,8,10,48
,iTunes-iPod/3.1/?,761,651,569,611,2592
,iTunes-iPod/4.0/?,195,201,139,118,653
,iTunes-iPod/4.1/?,883,704,806,896,3289
,iTunes/10.0/Macintosh,22285,22650,31747,38195,114877
,iTunes/10.0/Windows,40006,42958,49573,59674,192211
,iTunes/8.0/Macintosh,185,121,187,166,659
,iTunes/8.0/Windows,761,524,692,720,2697
,iTunes/8.1/Macintosh,97,135,150,246,628
,iTunes/8.1/Windows,348,273,313,346,1280
,iTunes/8.2/Macintosh,927,914,751,782,3374
,iTunes/8.2/Windows,1650,1800,1787,1674,6911
,iTunes/9.0/Macintosh,3919,5197,5470,5038,19624
,iTunes/9.0/Windows,8970,10900,11706,12584,44160
,iTunes/9.1/Macintosh,7620,12783,12557,10350,43310
,iTunes/9.1/Windows,5844,6523,5990,6452,24809
,iTunes/9.2/Macintosh,18017,20230,22645,22454,83346
,iTunes/9.2/Windows,15706,14736,16202,16802,63446
,Not Listed,737023,655680,648476,636699,2677878
